Name,d,Time (%),Total Time (ns),Avg (ns),Min (ns),Max (ns)
"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",5,28.55,464128.75,232064.375,231263.0,232865.75
"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",10,20.3,1815765.0,907882.5,855847.5,959917.5
"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",15,14.62,3302517.1,1651258.55,1539772.4,1762744.7
"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",25,9.45,8859563.5,4429781.75,4153207.7,4706355.8
"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",35,6.94,17528430.1,8764215.05,8030639.0,9497791.1
"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",45,5.45,28320960.6,14160480.3,12964510.7,15356449.9
"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",55,5.42,50820173.7,25410086.85,23751750.7,27068423.0
"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",65,4.6899999999999995,72424576.9,36212288.45,33161808.8,39262768.1
"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",75,3.9799999999999995,94009337.2,47004668.6,41455569.3,52553767.9
"custabilizer::validate_circuit_kernel(custabilizer::Circuit, unsigned long, unsigned long, int *, char *, unsigned long)",84,3.5799999999999996,116961051.8,58480525.9,51369228.8,65591823.0
"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",5,71.45,1161844.0833333333,1161844.0833333333,1161844.0833333333,1161844.0833333333
"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",10,79.7,7175998.0,7175998.0,7175998.0,7175998.0
"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",15,85.38,19279554.8,19279554.8,19279554.8,19279554.8
"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",25,90.55,85332284.0,85332284.0,85332284.0,85332284.0
"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",35,93.06,234667537.2,234667537.2,234667537.2,234667537.2
"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",45,94.55,490475273.6,490475273.6,490475273.6,490475273.6
"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",55,94.58,885277428.3,885277428.3,885277428.3,885277428.3
"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",65,95.31,1467348239.9,1467348239.9,1467348239.9,1467348239.9
"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",75,96.02000000000001,2270657696.4,2270657696.4,2270657696.4,2270657696.4
"void custabilizer::circuit_kernel_batch_plain_stack<(bool)1>(unsigned int *, unsigned int *, custabilizer::Circuit, unsigned long, unsigned long, unsigned int *, unsigned long, unsigned long, unsigned long)",84,96.42,3142745311.5,3142745311.5,3142745311.5,3142745311.5
